RoundNumber,Country,Location,EventName,Session1,Session2,Session3,Session4,Session5,Year,ID,Laps
18.0,Japan,Suzuka,Japanese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1092,28
19.0,United States,Austin,United States Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1093,56
20.0,Mexico,Mexico City,Mexico City Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1094,71
21.0,Brazil,São Paulo,São Paulo Grand Prix,Practice 1,Qualifying,Practice 2,Sprint,Race,2022,1095,71
22.0,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2022,1096,58
1.0,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1098,57
2.0,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1099,50
3.0,Australia,Melbourne,Australian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1100,58
4.0,Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,Qualifying,Sprint Shootout,Sprint,Race,2023,1101,51
5.0,United States,Miami,Miami Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1102,57
6.0,Monaco,Monaco,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1104,78
7.0,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1105,66
8.0,Canada,Montréal,Canadian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1106,70
9.0,Austria,Spielberg,Austrian Grand Prix,Practice 1,Qualifying,Sprint Shootout,Sprint,Race,2023,1107,71
10.0,Great Britain,Silverstone,British Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1108,52
11.0,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1109,70
12.0,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Qualifying,Sprint Shootout,Sprint,Race,2023,1110,44
13.0,Netherlands,Zandvoort,Dutch Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1111,72
14.0,Italy,Monza,Italian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1112,51
15.0,Singapore,Marina Bay,Singapore Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1113,62
16.0,Japan,Suzuka,Japanese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1114,53
17.0,Qatar,Lusail,Qatar Grand Prix,Practice 1,Qualifying,Sprint Shootout,Sprint,Race,2023,1115,57
18.0,United States,Austin,United States Grand Prix,Practice 1,Qualifying,Sprint Shootout,Sprint,Race,2023,1116,56
19.0,Mexico,Mexico City,Mexico City Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1117,71
20.0,Brazil,São Paulo,São Paulo Grand Prix,Practice 1,Qualifying,Sprint Shootout,Sprint,Race,2023,1118,71
